data,descricao,valor,tipo,conta,documento
02/01/2024,RECEBIMENTO CLIENTE ABC LTDA,3500.00,CREDITO,1.1.02.001,REC-001
03/01/2024,PAGAMENTO FORNECEDOR XYZ,1200.00,DEBITO,2.1.01.001,PAG-001
05/01/2024,PAGAMENTO FORNECEDOR XYZ,1200.00,DEBITO,2.1.01.001,PAG-002
06/01/2024,RECEBIMENTO CLIENTE DEF SA,2800.00,CREDITO,1.1.02.001,REC-002
07/01/2024,FOLHA SALARIOS JANEIRO,8500.00,DEBITO,3.1.01.001,SAL-001
08/01/2024,RECEBIMENTO CLIENTE GHI,1500.00,CREDITO,1.1.02.001,REC-003
09/01/2024,RECOLHIMENTO ISSQN,320.00,DEBITO,2.1.02.001,IMP-001
10/01/2024,RECEBIMENTO PIX CLIENTE JKL,950.00,CREDITO,1.1.02.001,REC-004
11/01/2024,BOLETO PAGO FORNECEDOR MNO,2100.00,DEBITO,2.1.01.002,PAG-003
13/01/2024,RECEBIMENTO CLIENTE PQR,4200.00,CREDITO,1.1.02.001,REC-005
14/01/2024,PAGAMENTO ALUGUEL MATRIZ,2500.00,DEBITO,3.1.01.002,ALG-001
15/01/2024,RECEBIMENTO CLIENTE STU,1800.00,CREDITO,1.1.02.001,REC-006
16/01/2024,RECOLHIMENTO INSS FOLHA,1850.00,DEBITO,2.1.03.001,FGTS-001
17/01/2024,PIX ENVIADO FORNECEDOR VWX,750.00,DEBITO,2.1.01.003,PAG-004
18/01/2024,RECEBIMENTO CLIENTE YZ,3100.00,CREDITO,1.1.02.001,REC-007
19/01/2024,PAGAMENTO ENERGIA ELETRICA MATRIZ,680.00,DEBITO,3.1.01.003,UTL-001
20/01/2024,RECEBIMENTO CLIENTE ABC LTDA,2200.00,CREDITO,1.1.02.001,REC-008
21/01/2024,RECEBIMENTO CLIENTE NOVO,5000.00,CREDITO,1.1.02.001,REC-009
22/01/2024,PAGAMENTO FORNECEDOR ZZZ,1500.00,DEBITO,2.1.01.004,PAG-005
