data,descricao,valor,tipo,saldo
01/01/2024,SALDO ANTERIOR,0.00,CREDITO,15000.00
02/01/2024,DEPOSITO CLIENTE ABC LTDA,3500.00,CREDITO,18500.00
03/01/2024,TRANSFERENCIA FORNECEDOR XYZ,1200.00,DEBITO,17300.00
04/01/2024,TARIFA BANCARIA MENSAL,45.90,DEBITO,17254.10
05/01/2024,PAGAMENTO FORNECEDOR XYZ,1200.00,DEBITO,16054.10
06/01/2024,DEPOSITO CLIENTE DEF SA,2800.00,CREDITO,18854.10
07/01/2024,TRANSFERENCIA SALARIOS JANEIRO,8500.00,DEBITO,10354.10
08/01/2024,RECEBIMENTO CLIENTE GHI,1500.00,CREDITO,11854.10
09/01/2024,PAGAMENTO IMPOSTO ISSQN,320.00,DEBITO,11534.10
10/01/2024,PIX RECEBIDO CLIENTE JKL,950.00,CREDITO,12484.10
11/01/2024,BOLETO PAGO FORNECEDOR MNO,2100.00,DEBITO,10384.10
12/01/2024,TARIFA DOC/TED,12.50,DEBITO,10371.60
13/01/2024,DEPOSITO CLIENTE PQR,4200.00,CREDITO,14571.60
14/01/2024,PAGAMENTO ALUGUEL,2500.00,DEBITO,12071.60
15/01/2024,RECEBIMENTO CLIENTE STU,1800.00,CREDITO,13871.60
16/01/2024,TRANSFERENCIA INSS FOLHA,1850.00,DEBITO,12021.60
17/01/2024,PIX ENVIADO FORNECEDOR VWX,750.00,DEBITO,11271.60
18/01/2024,DEPOSITO CLIENTE YZ,3100.00,CREDITO,14371.60
19/01/2024,PAGAMENTO ENERGIA ELETRICA,680.00,DEBITO,13691.60
20/01/2024,RECEBIMENTO CLIENTE ABC LTDA,2200.00,CREDITO,15891.60
